campana;provincia;tipo_tabaco;razon_social;es_subtotal_empresa;volumen_acopio_kg;valor_acopio_pesos;precio_promedio_empresa;pagina_origen
2018/2019;JUJUY;VIRGINIA;CRECER SRL;False;1684706.0;132528231.76;78.67;14
2018/2019;JUJUY;VIRGINIA;MASSALIN JUJUY;False;5676613.0;363191657.74;63.98;14
2018/2019;JUJUY;VIRGINIA;TABES S.A.;False;1941604.0;91491766.0;47.12;14
2018/2019;MISIONES;BURLEY;ALLIANCE MISIONES;False;2329138.0;128721646.65;55.27;14
2018/2019;MISIONES;BURLEY;BONPLAND LEAF;False;2599897.0;144967498.95;55.76;14
2018/2019;MISIONES;BURLEY;CIMA;False;1554396.0;80863203.06;52.02;14
2018/2019;MISIONES;BURLEY;COOPERATIVA MISIONES;False;13849101.0;777225871.08;56.12;14
2018/2019;MISIONES;BURLEY;COOPERATIVA SAN VICENTE;False;2142556.0;109041809.28;50.89;14
2018/2019;MISIONES;BURLEY;MASSALIN MISIONES;False;10554315.0;585307937.66;55.46;14
2018/2019;MISIONES;CR. MISIONERO;1.277.575,59;False;;16920301.82;;14
2018/2019;MISIONES;CR. MISIONERO;44.016,00;False;597429.0;;;14
2018/2019;MISIONES;CR. MISIONERO;ALLIANCE ONE MISIONES;False;272920.0;7652676.96;28.04;14
2018/2019;MISIONES;CR. MISIONERO;BONPLAND LEAF;False;192066.0;5378922.72;28.01;14
2018/2019;MISIONES;CR. MISIONERO;COTAVI;False;132443.0;3888702.14;29.36;14
2018/2019;SALTA;VIRGINIA;ACOPIADORA;False;183110.0;4463605.26;24.38;14
2018/2019;SALTA;VIRGINIA;ALLIANCE SALTA;False;6673009.0;466089227.48;69.85;14
2018/2019;SALTA;VIRGINIA;COOPERATIVA JUJUY;False;23468.0;1213073.08;51.69;14
2018/2019;SALTA;VIRGINIA;COOPERATIVA SALTA;False;20317808.0;1494856927.57;73.57;14
2018/2019;SALTA;VIRGINIA;CRECER SRL;False;14202.0;847068.9;59.64;14
2018/2019;SALTA;VIRGINIA;CTIA SALTA;False;61650.0;5361061.68;86.96;14
2018/2019;SALTA;VIRGINIA;MASSALIN SALTA;False;4205231.0;272238794.61;64.74;14
2018/2019;SALTA;VIRGINIA;TABES;False;715025.0;25795465.63;36.08;14
2018/2019;TUCUMAN;BURLEY;ALLIANCE ONE TUCUMAN;False;550667.0;22486179.59;40.83;14
2018/2019;TUCUMAN;BURLEY;CAPUL;False;57564.0;3180450.0;55.25;14
2018/2019;TUCUMAN;BURLEY;CICAT;False;194557.0;10907120.57;56.06;14
2018/2019;TUCUMAN;BURLEY;COOP. TUCUMAN;False;1704501.0;90583552.34;53.14;14
2018/2019;TUCUMAN;BURLEY;CORREA;False;107794.0;2975725.57;27.61;14
2018/2019;TUCUMAN;BURLEY;MASSALIN  JUJUY;False;1894180.0;84456053.14;44.59;14
