provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
MISIONES;SUBTOTAL_PROVINCIAL;True;False;18342512.0;9538178123.88;520.0;4076230925.7;222.23;13614409049.58;742.23;2022/2023
MISIONES;BURLEY;False;False;18165495.0;9479368400.0;521.83;4050649364.52;222.99;13530017764.52;744.82;2022/2023
MISIONES;CR. MISIONERO;False;False;158750.0;46239271.92;291.27;20753534.79;130.73;66992806.71;422.0;2022/2023
MISIONES;VIRGINIA;False;False;18267.0;12570451.96;688.15;4828026.39;264.3;17398478.35;952.45;2022/2023
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;621567.0;265063815.2;426.44;135588566.25;218.14;400652381.45;644.58;2022/2023
CATAMARCA;BURLEY;False;False;590784.0;255465143.78;432.42;131280555.96;222.21;386745699.74;654.63;2022/2023
CATAMARCA;CR. ARGENTINO;False;False;30783.0;9598671.42;311.82;4308010.29;139.95;13906681.71;451.76;2022/2023
CHACO;SUBTOTAL_PROVINCIAL;True;False;309650.0;87957799.53;284.06;45564345.88;147.15;133522145.41;431.2;2022/2023
CHACO;VIRGINIA;False;False;156707.0;61373580.43;391.65;33632765.94;214.62;95006346.37;606.27;2022/2023
CHACO;CR. CHAQUEÑO;False;False;152943.0;26584219.1;173.82;11931579.94;78.01;38515799.04;251.83;2022/2023
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;5950828.0;2499964050.38;420.1;1313477481.5;220.72;3813441531.88;640.83;2022/2023
TUCUMAN;BURLEY;False;False;5746078.0;2436000901.33;423.94;1284769829.35;223.59;3720770730.68;647.53;2022/2023
TUCUMAN;CR. ARGENTINO;False;False;203913.0;63564252.9;311.72;28528478.12;139.91;92092731.02;451.63;2022/2023
TUCUMAN;VIRGINIA;False;False;837.0;398896.15;476.58;179174.03;214.07;578070.18;690.65;2022/2023
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;986418.0;463653978.38;470.04;203901952.66;206.71;667555931.04;676.75;2022/2023
CORRIENTES;BURLEY;False;False;56380.0;38559284.48;683.92;13099338.49;232.34;51658622.97;916.26;2022/2023
