mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
abril 26,389.0,2634.61,6150.0,50705413.0,29508627.0,24076987.0,19695615.0,123986642.0
May-26,389.0,2611.91,6150.0,49788080.0,29426319.0,22353591.0,19253871.0,120821861.0
Jun-26,389.0,2572.43,6450.0,64048820.0,34162211.0,16831546.0,24433263.0,139475839.0
Jul-26,450.0,2979.71,6450.0,40256415.0,30729459.0,23405198.0,19725083.0,114116155.0
ene-08,1.04,11.12,35.48,52.36,100.0,,,
feb-08,1.31,10.25,34.98,53.46,100.0,,,
mar-08,1.23,10.74,34.62,53.41,100.0,,,
abr-08,1.36,13.59,49.93,35.12,100.0,,,
may-08,1.32,12.77,50.4,35.5,100.0,,,
jun-08,1.41,13.37,49.5,35.72,100.0,,,
jul-08,1.0,11.96,44.55,42.48,100.0,,,
ago-08,1.37,9.17,36.11,53.35,100.0,,,
sep-08,1.03,9.24,36.39,53.34,100.0,,,
oct-08,0.88,12.92,56.24,29.96,100.0,,,
nov-08,1.01,13.13,51.6,34.26,100.0,,,
dic-08,0.72,12.96,51.6,34.72,100.0,,,
ene-09,1.06,12.68,48.24,38.02,100.0,,,
feb-09,1.1,0.36,46.66,51.88,100.0,,,
mar-09,2.43,74.6,22.95,0.02,100.0,,,
abr-09,3.31,56.47,40.22,0.0,100.0,,,
may-09,1.06,55.81,43.11,0.03,100.0,,,
jun-09,1.08,56.12,42.78,0.02,100.0,,,
jul-09,1.07,53.96,44.93,0.04,100.0,,,
ago-09,1.28,45.47,53.24,0.01,100.0,,,
sep-09,0.14,1.99,44.3,53.57,100.0,,,
oct-09,1.06,8.7,36.55,53.69,100.0,,,
nov-09,4.3,77.1,18.59,0.0,100.0,,,
dic-09,0.88,44.46,54.66,0.0,100.0,,,
ene-10,1.11,44.73,54.16,0.0,100.0,,,
feb-10,1.07,44.08,54.62,0.23,100.0,,,
mar-10,1.06,14.32,84.56,0.05,100.0,,,
abr-10,1.15,9.79,66.78,22.27,100.0,,,
may-10,0.81,12.35,85.16,1.68,100.0,,,
jun-10,0.89,11.23,79.11,8.77,100.0,,,
jul-10,0.82,11.1,79.51,8.56,100.0,,,
